,date_played,game,company,location,escaped,time_elapsed,users,game_id
81,2025−7−30,Lost Island of the Voodoo Queen,Escaparium,Quebec,True,,"jthingelstad, tkorocks",9469
82,2025−7−30,Wardrobe for sale,Escaparium,Quebec,True,,"jthingelstad, tkorocks",9589
83,2025−8−2,Magnifico,Escaparium,Quebec,True,,"jthingelstad, tkorocks",51489
84,2025−8−7,The Experiment,Escape Room Alexandria,Alexandria,True,53m 14s,"jthingelstad, tkorocks",13286
85,2025−8−8,Time Machine,Puzzled Escape Rooms,Fargo,True,53m 11s,"jthingelstad, tkorocks",6168
86,2025−8−9,Gemini Quantum Quest,Breakout ND,Bismarck,True,48m 45s,"jthingelstad, tkorocks",54990
87,2025−12−22,Ruins: Forbidden Treasure,Escape Game,Nashville,True,55m 12s,"jthingelstad, tkorocks",
88,2025−12−22,Yeti Escape Room,Escape Game,Nashville,True,57m 34s,"jthingelstad, tkorocks",
89,2026−1−3,Loose Sleuth,Puzzleworks,Minneapolis,True,49m 5s,"jthingelstad, tkorocks",13321
90,2026−1−10,Scooby-Doo™ and the Spooky Castle Adventure,Escapology,Burnsville,True,39m 46s,"jthingelstad, tkorocks",9603
