id,game,company_id,company_name,date,status,win,escapeTime,city,region,country,lat,lng,companyUrl,blogUrl,mortyId,tags,players,notes,photoUrl
26,Quest for the Amulet at Windmere Castle,18,Escape MSP,2019-02-16,completed,false,,Lakeville,Minnesota,US,44.6497,-93.2427,,https://www.thingelstad.com/2019/02/16/we-played-quest.html,,,,Score 412.5,/images/rooms/26.jpg
27,Video Game Mayhem,44,Trapped Puzzle Rooms,2019-04-27,completed,true,53m 0s,St. Paul,Minnesota,US,44.9537,-93.09,https://www.trappedpuzzlerooms.com/,https://www.thingelstad.com/2019/04/26/we-had-a.html,10174,,,Beta testing new room!,/images/rooms/27.jpg
28,The Toy Maker’s Shop,13,Escape Artists KC,2019-07-22,completed,true,,Kansas City,Missouri,US,39.0997,-94.5786,,https://www.thingelstad.com/2019/07/22/we-solved-the.html,4192,,,,/images/rooms/28.jpg
29,Beasley’s Billions,42,Tick Tock Escape Games,2019-07-23,completed,false,,Kansas City,Missouri,US,39.0997,-94.5786,,,1690,,,,
30,Nutcracker Nightmare,44,Trapped Puzzle Rooms,2019-12-07,completed,true,,St. Paul,Minnesota,US,44.9537,-93.09,,https://www.thingelstad.com/2019/12/07/we-had-a.html,10177,,,Holiday room?,/images/rooms/30.jpg
31,The Vault,37,Puzzleworks,2020-01-05,completed,false,,Minneapolis,Minnesota,US,44.9778,-93.265,https://www.puzzleworksmn.com/,https://www.thingelstad.com/2020/01/05/we-had-a.html,1566,,,Did not complete.,/images/rooms/31.jpg
32,???,44,Trapped Puzzle Rooms,2020-04-26,completed,false,,,,,,,https://www.trappedpuzzlerooms.com/,,,online,,,
33,Titanic Room,20,Escape Room Palm Springs,2021-02-14,completed,true,44m 29s,Palm Springs,California,US,33.8303,-116.5453,https://escapeps.com/,https://www.thingelstad.com/2021/02/14/we-did-the.html,3598,,,,/images/rooms/33.jpg
34,Evil Robot,34,Nemesis Club,2021-03-11,completed,true,59m 29s,Phoenix,Arizona,US,33.4484,-112.074,https://thenemesisclub.com/,https://www.thingelstad.com/2021/03/11/nemesis-club-evil.html,7362,,,,/images/rooms/34.jpg
35,Mona Lisa,26,Greatest Caper,2021-08-08,completed,true,56m 16s,Montpelier,Maine,US,44.2601,-69.817,https://thegreatestcaper.com/,https://www.thingelstad.com/2021/08/08/we-saved-the.html,3332,,,,/images/rooms/35.jpg
36,Rock’n the 50s,27,Itasca Historical Society,2021-08-21,completed,true,40m 0s,Grand Rapids,Minnesota,US,47.2372,-93.5302,https://www.grescaperooms.com/,https://www.thingelstad.com/2021/08/21/we-won-the.html,,,,Keatings,/images/rooms/36.jpg
